出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-23 Thursday,下午6:10,TPE,晚上8:05,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A320neo,BR 857,經濟艙,"$3,724"
2025-01-23 Thursday,晚上7:00,TPE,晚上8:50,HKG,長榮航空,直達航班。,Non-stop,1 小時 50 分鐘,No,Airbus A320neo,BR 809,經濟艙,"$3,724"
2025-01-23 Thursday,晚上8:25,TPE,晚上10:25,HKG,香港航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,HX 285,經濟艙,"$4,254"
2025-01-23 Thursday,上午10:50,TPE,中午12:55,HKG,中華航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,CI 909,經濟艙,"$4,423"
2025-01-23 Thursday,下午6:35,TPE,晚上8:40,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,CX 473,經濟艙,"$5,579"
2025-01-23 Thursday,晚上7:30,TPE,晚上9:35,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,CX 565,經濟艙,"$5,579"
2025-01-23 Thursday,晚上7:40,TPE,晚上9:45,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,CX 451,經濟艙,"$5,579"
2025-01-23 Thursday,下午3:50,TPE,下午5:55,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,CX 443,經濟艙,"$6,809"
2025-01-23 Thursday,下午5:00,TPE,晚上7:05,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,CX 421,經濟艙,"$6,809"
2025-01-23 Thursday,清晨7:15,TPE,上午9:15,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,CI 601,經濟艙,"$7,177"
